Symbol,Name,sector,GICS Sub-Industry,Headquarters Location,Founded
MMM,3M,manufacturing,Industrial Conglomerates,"Saint Paul, Minnesota",1902
ACN,Accenture,tech,IT Consulting & Other Services,"Dublin, Ireland",1989
ADBE,Adobe Inc.,tech,Application Software,"San Jose, California",1982
AMD,Advanced Micro Devices,tech,Semiconductors,"Santa Clara, California",1969
AKAM,Akamai Technologies,tech,Internet Services & Infrastructure,"Cambridge, Massachusetts",1998
AMZN,Amazon,retail,Broadline Retail,"Seattle, Washington",1994
APH,Amphenol,tech,Electronic Components,"Wallingford, Connecticut",1932
ADI,Analog Devices,tech,Semiconductors,"Wilmington, Massachusetts",1965
AAPL,Apple Inc.,tech,"Technology Hardware, Storage & Peripherals","Cupertino, California",1977
AMAT,Applied Materials,tech,Semiconductor Materials & Equipment,"Santa Clara, California",1967
ANET,Arista Networks,tech,Communications Equipment,"Santa Clara, California",2004
ADSK,Autodesk,tech,Application Software,"San Francisco, California",1982
AZO,AutoZone,retail,Automotive Retail,"Memphis, Tennessee",1979
BBY,Best Buy,retail,Computer & Electronics Retail,"Richfield, Minnesota",1966
AVGO,Broadcom,tech,Semiconductors,"Palo Alto, California",1961
CDNS,Cadence Design Systems,tech,Application Software,"San Jose, California",1988
CAT,Caterpillar Inc.,manufacturing,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas",1925
CDW,CDW,tech,Technology Distributors,"Vernon Hills, Illinois",1984
CSCO,Cisco,tech,Communications Equipment,"San Jose, California",1984
CTSH,Cognizant,tech,IT Consulting & Other Services,"Teaneck, New Jersey",1994
GLW,Corning Inc.,tech,Electronic Components,"Corning, New York",1851
COST,Costco,retail,Consumer Staples Merchandise Retail,"Issaquah, Washington",1976
CRWD,CrowdStrike,tech,Systems Software,"Austin, Texas",2011
CMI,Cummins,manufacturing,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana",1919
DE,Deere & Company,manufacturing,Agricultural & Farm Machinery,"Moline, Illinois",1837
DELL,Dell Technologies,tech,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",2016
DG,Dollar General,retail,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",1939
DLTR,Dollar Tree,retail,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",1986
DOV,Dover Corporation,manufacturing,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois",1955
DD,DuPont,manufacturing,Industrial Conglomerates,"Wilmington, Delaware",2017 (1802)
EBAY,eBay,retail,Broadline Retail,"San Jose, California",1995
FFIV,"F5, Inc.",tech,Communications Equipment,"Seattle, Washington",1996
FICO,Fair Isaac,tech,Application Software,"Bozeman, Montana",1956
FRT,Federal Realty Investment Trust,retail,Retail REITs,"Rockville, Maryland",1962
FSLR,First Solar,tech,Semiconductors,"Tempe, Arizona",1999
FTNT,Fortinet,tech,Systems Software,"Sunnyvale, California",2000
FTV,Fortive,manufacturing,Industrial Machinery & Supplies & Components,"Everett, Washington",2016
IT,Gartner,tech,IT Consulting & Other Services,"Stamford, Connecticut",1979
GEV,GE Vernova,manufacturing,Heavy Electrical Equipment,"Cambridge, Massachusetts",2024
GEN,Gen Digital,tech,Systems Software,"Tempe, Arizona",1982
GNRC,Generac,manufacturing,Heavy Electrical Equipment,"Waukesha, Wisconsin",1959
GDDY,GoDaddy,tech,Internet Services & Infrastructure,"Tempe, Arizona",1997
HPE,Hewlett Packard Enterprise,tech,"Technology Hardware, Storage & Peripherals","Houston, Texas",2015
HD,Home Depot (The),retail,Home Improvement Retail,"Atlanta, Georgia",1978
HON,Honeywell,manufacturing,Industrial Conglomerates,"Charlotte, North Carolina",1906
HPQ,HP Inc.,tech,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1939 (2015)
HUBB,Hubbell Incorporated,manufacturing,Industrial Machinery & Supplies & Components,"Shelton, Connecticut",1888
IBM,IBM,tech,IT Consulting & Other Services,"Armonk, New York",1911
IEX,IDEX Corporation,manufacturing,Industrial Machinery & Supplies & Components,"Northbrook, Illinois",1988
ITW,Illinois Tool Works,manufacturing,Industrial Machinery & Supplies & Components,"Glenview, Illinois",1912
IR,Ingersoll Rand,manufacturing,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",1859
INTC,Intel,tech,Semiconductors,"Santa Clara, California",1968
INTU,Intuit,tech,Application Software,"Mountain View, California",1983
JBL,Jabil,tech,Electronic Manufacturing Services,"St. Petersburg, Florida",1966
KEYS,Keysight Technologies,tech,Electronic Equipment & Instruments,"Santa Rosa, California",2014 (1939)
KIM,Kimco Realty,retail,Retail REITs,"Jericho, New York",1958
KLAC,KLA Corporation,tech,Semiconductor Materials & Equipment,"Milpitas, California",1975/1977 (1997)
KR,Kroger,retail,Food Retail,"Cincinnati, Ohio",1883
LRCX,Lam Research,tech,Semiconductor Materials & Equipment,"Fremont, California",1980
LOW,Lowe's,retail,Home Improvement Retail,"Mooresville, North Carolina",1904/1946/1959
MCHP,Microchip Technology,tech,Semiconductors,"Chandler, Arizona",1989
MU,Micron Technology,tech,Semiconductors,"Boise, Idaho",1978
MSFT,Microsoft,tech,Systems Software,"Redmond, Washington",1975
