Symbol,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
MMM,168.31,29.8422,0.0185,5.64,139.34,184.9,86801244160.0,6488000000.0,3.4472296,29.404263,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
ACN,193.12,15.424919,0.0347,12.52,118.15,291.09,118178250752.0,12943767552.0,1.6166525,3.7052245,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ADBE,285.75,15.999439,,17.86,190.12,370.86,113585627136.0,9729000448.0,4.507724,9.898847,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AMD,456.16,116.36735,,3.92,149.22,584.73,744669773824.0,9562000384.0,18.028563,11.074264,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD
AKAM,106.5,38.035713,,2.8,70.82,165.45,15305819136.0,1079897984.0,3.540691,3.2204416,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
AMZN,258.9,20.531324,,12.61,196.0,287.2,2792576516096.0,168911994880.0,3.6001656,5.06099,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
APH,82.07,41.035,0.0125,2.0,54.34,89.26,202381901824.0,9463700480.0,6.975896,13.060153,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH
ADI,356.5,42.18935,0.0124,8.45,223.47,445.91,172747587584.0,6922700800.0,12.444227,5.1488323,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADI
AAPL,328.21,37.29659,0.0033,8.8,225.95,344.57,4789955985408.0,167959003136.0,10.260755,44.593746,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL
AMAT,435.91,37.643353,0.0048,11.58,158.82,739.67,345937051648.0,10154999808.0,11.2182455,13.499427,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMAT
ANET,191.44,60.58228,,3.16,114.52,214.89,241448861696.0,4639600128.0,22.906122,16.316374,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANET
ADSK,237.52,30.806746,,7.71,185.5,329.09,49641680896.0,2286000128.0,6.372488,14.673504,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADSK
AZO,2968.04,20.432604,,145.26,2902.2,4388.11,48454307840.0,4263984896.0,2.4243636,-17.447668,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO
BBY,87.49,14.461156,0.0441,6.05,55.1,91.27,18440015872.0,2652000000.0,0.43695682,5.807886,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY
AVGO,357.16,45.672634,0.007,7.82,289.96,495.0,1699217408000.0,42083999744.0,22.51663,20.8293,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO
CDNS,304.875,60.975,,5.0,262.75,416.69,84089405440.0,2155915008.0,14.404735,12.242992,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDNS
CAT,800.14,34.473934,0.0082,23.21,414.29,1073.46,367804252160.0,16250999808.0,4.921841,18.96381,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT
CDW,153.92,17.856148,0.017,8.62,97.12,171.55,19242682368.0,2010899968.0,0.8188236,7.897383,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CDW
CSCO,108.61,32.91212,0.0153,3.3,66.13,130.37,428079218688.0,18626000896.0,6.760035,8.529135,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO
CTSH,64.64,13.871245,0.0208,4.66,37.08,87.03,30574718976.0,4036000000.0,1.4127492,2.0202525,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH
GLW,146.0,66.97247,0.0078,2.18,69.39,271.78,125507125248.0,4084999936.0,7.3984394,10.531631,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GLW
COST,925.41,46.573223,0.0063,19.87,844.06,1096.5,410399703040.0,13790000128.0,1.397881,24.82456,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COST
CRWD,214.97,5374.25,,0.04,85.68,233.88,220115271680.0,106861000.0,40.791206,43.14068,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRWD
CMI,545.5,28.162106,0.016,19.37,390.11,737.76,75273035776.0,5020000256.0,2.1687517,5.845415,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMI
DE,694.41,38.750557,0.0093,17.92,433.0,705.88,187230568448.0,8600000512.0,3.906578,6.6934953,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DE
DELL,516.39,28.656492,0.0051,18.02,110.22,530.78,333661470720.0,17501999104.0,2.2067995,-238.73785,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DELL
DG,131.26,17.00259,0.018,7.72,95.11,158.23,28958158848.0,3581925888.0,0.6635996,3.1175923,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DG
